'COUNTY (OR GROUP)','Percent with Active Asthma','95% Confidence Interval'
'Merced','14.4','(9.3 - 19.6)'
'Tehama/Glenn/Colusa','13.7','(9.5 - 17.9)'
'Yuba','12.7','(8.9 - 16.6)'
'Kern','11.9','(8.6 - 15.2)'
'Fresno','11.3','(8.4 - 14.3)'
'Sacramento','11.2','(8.9 - 13.5)'
'Solano','10.9','(6.7 - 15.1)'
'San Joaquin','10.8','(7.5 - 14.2)'
'Santa Cruz','10.6','(6.6 - 14.5)'
'Kings','10.1','(7.4 - 12.9)'
'Sutter','10.0','(7.2 - 12.8)'
'Alameda','9.8','(7.5 - 12.2)'
'Lake','9.8','(6.9 - 12.7)'
'Napa','9.8','(6.8 - 12.7)'
'Butte','9.7','(7.2 - 12.2)'
'Shasta','9.7','(5.7 - 13.7)'
'Contra Costa','9.6','(7.2 - 11.9)'
'Imperial','9.5','(6.9 - 12.2)'
'Madera','9.5','(6.9 - 12.1)'
'Nevada','9.4','(6.6 - 12.1)'
'Del Norte/Siskiyou/Lassen/Trinity/Modoc/Plumas/Sierra','9.2','(5.8 - 12.6)'
'San Mateo','9.2','(5.9 - 12.6)'
'Placer','9.0','(6.2 - 11.7)'
'San Bernardino','9.0','(7.5 - 10.5)'
'Stanislaus','9.0','(5.6 - 12.4)'
'Tulare','8.8','(6.2 - 11.3)'
'Yolo','8.8','(5.0 - 12.7)'
'Tuolumne/Calaveras/Amador/Inyo/Mariposa/Mono/Alpine','8.7','(5.8 - 11.6)'
'El Dorado','8.3','(5.9 - 10.6)'
'CALIFORNIA OVERALL','8.1','(7.7 - 8.4)'
'Ventura','8.1','(5.4 - 10.8)'
'Santa Barbara','8.0','(5.1 - 10.9)'
'Sonoma','7.8','(5.2 - 10.3)'
'San Luis Obispo','7.5','(4.4 - 10.6)'
'San Diego','7.3','(6.3 - 8.3)'
'Los Angeles','7.2','(6.5 - 7.8)'
'Humboldt','7.0','(4.9 - 9.2)'
'Mendocino','6.9','(4.6 - 9.3)'
'Monterey','6.8','(4.3 - 9.4)'
'Orange','6.8','(5.7 - 8.0)'
'Santa Clara','6.8','(5.3 - 8.4)'
'Marin','6.5','(3.4 - 9.6)'
'San Francisco','6.0','(3.4 - 8.6)'
'Riverside','5.2','(4.2 - 6.2)'